command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
-15.61155,0,-.308778049,-15.61155,2740.964315955,1.935139917,2740.964315955,1,1,true,2,2,14805.750221967,-.557840081,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2740.964315955,1.935139917,2740.964315955,1,true,2,2,14805.750221967,-.557840081,2e3,0,0,0,3,25,0,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.002669623,1,none,0,0,0,-15.61155,-.308778049,0,0,483.343725,-14240.331901332,-7802.38500647,2740.964315955,1.935139917,-.032304683,0,0,0,-7802.38500647,-14240.331901332,2740.964315955,451.380379892,-172.14293088,-15.61155
-15.61155,0,-.308778049,-15.61155,2725.352765955,1.93282733,2725.352765955,1,1,true,2,2,14608.125189228,-.558529386,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2725.352765955,1.93282733,2725.352765955,1,true,2,2,14608.125189228,-.558529386,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.003645194,1,none,0,1,0,-15.61155,-.308778049,0,1,483.343725,-14412.16348437,-7350.886120618,2725.352765955,1.93282733,-.032304683,-.061457446,0,1,-7350.886120618,-14412.16348437,2725.352765955,451.777267966,-171.098615286,-15.61155
-15.61155,0,-.308778049,-15.61155,2709.741215955,1.928175889,2709.741215955,1,1,true,2,2,14411.38191614,-.556975647,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2709.741215955,1.928175889,2709.741215955,1,true,2,2,14411.38191614,-.556975647,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.004592422,1,none,0,2,0,-15.61155,-.308778049,0,2,483.343725,-14582.353792008,-6898.766354168,2709.741215955,1.928175889,-.032304683,-.076062265,0,2,-6898.766354168,-14582.353792008,2709.741215955,452.568232878,-168.995356721,-15.61155
-15.61155,0,-.308778049,-15.61155,2694.129665955,1.922967973,2694.129665955,1,1,true,2,2,14213.641610489,-.554817208,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2694.129665955,1.922967973,2694.129665955,1,true,2,2,14213.641610489,-.554817208,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.006365239,1,none,0,3,0,-15.61155,-.308778049,0,3,483.343725,-14750.296864993,-6445.807151446,2694.129665955,1.922967973,-.032304683,-.079519593,0,3,-6445.807151446,-14750.296864993,2694.129665955,453.442205282,-166.636137954,-15.61155
-15.61155,0,0,-15.61155,2678.518115955,1.917628275,2678.518115955,1,1,true,2,2,14013.463435359,-.552371186,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2678.518115955,1.917628275,2678.518115955,1,true,2,2,14013.463435359,-.552371186,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.008286282,1,none,0,4,0,-15.61155,0,0,4,483.343725,-14915.844898584,-5991.9671621,2678.518115955,1.917628275,-.032304683,-.080337049,0,4,-5991.9671621,-14915.844898584,2678.518115955,454.325523276,-164.212529679,-15.61155
-15.61155,0,0,-15.61155,2662.906565955,1.914574119,2662.906565955,1,1,true,2,2,13809.900430875,-.551992667,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2662.906565955,1.914574119,2662.906565955,1,true,2,2,13809.900430875,-.551992667,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.008530848,1,none,0,5,0,-15.61155,0,0,5,483.343725,-15079.273738153,-5537.359363365,2662.906565955,1.914574119,-.032304683,-.019155284,0,5,-5537.359363365,-15079.273738153,2662.906565955,454.824934224,-162.824184973,-15.61155
-16.424754552,0,0,-15.61155,2647.295015955,1.913846167,2647.295015955,1,1,true,2,2,13600.08521927,-.553562537,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.61155,2647.295015955,1.913846167,2647.295015955,1,true,2,2,13600.08521927,-.553562537,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.009643927,1,none,0,6,0,-16.424754552,0,0,6,483.343725,-15241.911071894,-5082.467593458,2647.295015955,1.913846167,-.032304683,-.004572728,0,6,-5082.467593458,-15241.911071894,2647.295015955,454.943341924,-162.49305106,-15.61155
-16.424754552,0,0,-16.424754552,2630.951584108,1.913674523,2630.951584108,1,1,true,2,2,13384.024474052,-.555339305,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-16.424754552,2630.951584108,1.913674523,2630.951584108,1,true,2,2,13384.024474052,-.555339305,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.015884637,1,none,0,7,0,-16.424754552,0,0,7,483.343725,-15404.353254321,-4627.531855291,2630.951584108,1.913674523,-.033988064,-.001134043,0,7,-4627.531855291,-15404.353254321,2630.951584108,454.945831197,-162.405894631,-16.424754552
-16.424754552,0,0,-16.424754552,2614.526829556,1.913631429,2614.526829556,1,1,true,2,2,13161.75797922,-.556912259,1988.997015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-16.424754552,2614.526829556,1.913631429,2614.526829556,1,true,2,2,13161.75797922,-.556912259,2e3,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,false,-9999,9999,4,0,2,0,0,0,100.024028753,1,none,0,8,0,-16.424754552,0,0,8,483.343725,-15566.748085763,-4172.582074968,2614.526829556,1.913631429,-.033988064,-270702e-9,0,8,-4172.582074968,-15566.748085763,2614.526829556,454.95282947,-162.386289113,-16.424754552
