command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
10.605483333,3.321033426,0,10.605483333,12462.555613819,-2.768004927,12462.555613819,2,1,true,1,1,42397.655113033,.976462679,16589.180063819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,10.605483333,12462.555613819,-2.768004927,12462.555613819,2,true,1,1,42397.655113033,.976462679,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,0,3.321033426,10.605483333,0,0,0,388.2395706,7225.785819516,16758.391698055,12462.555613819,-2.768004927,.027320252,0,0,0,16758.391698055,7225.785819516,12462.555613819,-141.638274403,-361.325458731,10.605483333
9.243408093,3.321033426,0,10.605475695,12473.161090219,-2.768004927,12473.161090219,2,1,true,1,1,42001.433699289,.998128882,16589.180063819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,10.605475695,12473.161090219,-2.768004927,12473.161090219,2,true,1,1,42001.433699289,.998128882,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,1,3.321033426,9.243408093,0,0,1,391.560604026,6863.068461207,16616.207804046,12473.161090219,-2.768004927,.027088458,0,0,1,16616.207804046,6863.068461207,12473.161090219,-142.850760936,-364.418565129,10.605475695
9.243408093,3.321033426,0,9.243401547,12482.580186673,-2.768004927,12482.580186673,2,1,true,1,1,41620.480930038,1.020248623,16589.180063819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,9.243401547,12482.580186673,-2.768004927,12482.580186673,2,true,1,1,41620.480930038,1.020248623,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,2,3.321033426,9.243408093,0,0,2,394.881637452,6497.230076614,16472.80047901,12482.580186673,-2.768004927,.023410169,0,0,2,16472.80047901,6497.230076614,12482.580186673,-144.075737268,-367.543533551,9.243401547
9.243408093,3.321033426,0,9.243401656,12491.82358827,-2.768004927,12491.82358827,2,1,true,1,1,41252.076862292,1.042797637,16589.180063819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,9.243401656,12491.82358827,-2.768004927,12491.82358827,2,true,1,1,41252.076862292,1.042797637,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,3,3.321033426,9.243408093,0,0,3,398.202670878,6128.294780956,16328.179176024,12491.82358827,-2.768004927,.023214892,0,0,3,16328.179176024,6128.294780956,12491.82358827,-145.288104517,-370.636335653,9.243401656
9.243408093,3.321033426,.278201452,9.243401762,12501.066989974,-2.768004927,12501.066989974,2,1,true,1,1,40882.289253178,1.065673952,16593.527047604,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,9.243401762,12501.066989974,-2.768004927,12501.066989974,2,true,1,1,40882.289253178,1.065673952,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,4,3.321033426,9.243408093,.278201452,0,4,401.523704304,5756.266689483,16182.345508254,12501.066989974,-2.768004927,.023022846,0,0,4,16182.345508254,5756.266689483,12501.066989974,-146.500466316,-373.729123847,9.243401762
24.223486496,3.321033426,2.705318347,9.243401866,12510.310391783,-2.765659747,12510.310391783,2,1,true,1,1,40502.367752049,1.086469631,16598.839951704,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,9.243401866,12510.310391783,-2.765659747,12510.310391783,2,true,1,1,40502.367752049,1.086469631,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,5,3.321033426,24.223486496,2.705318347,0,5,404.84473773,5381.251164309,16035.031260758,12510.310391783,-2.765659747,.022833952,.050260743,0,5,16035.031260758,5381.251164309,12510.310391783,-148.596131092,-376.474449351,9.243401866
46.456594091,3.321033426,2.705318347,18.910822127,12523.90416437,-2.738922186,12523.90416437,2,1,true,1,1,40104.109823485,1.083051433,16598.680768208,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,18.910822127,12523.90416437,-2.738922186,12523.90416437,2,true,1,1,40104.109823485,1.083051433,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899983,0,none,0,6,3.321033426,46.456594091,2.705318347,0,6,408.165771156,5004.815659965,15882.695578744,12523.90416437,-2.738922186,.046347821,.398569268,0,6,15882.695578744,5004.815659965,12523.90416437,-159.778854708,-375.116508751,18.910822127
46.456594091,3.321033426,2.705318347,28.577868439,12547.165187456,-2.693344995,12547.165187456,2,1,true,1,1,39675.749091555,1.060806285,16598.680768208,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,28.577868439,12547.165187456,-2.693344995,12547.165187456,2,true,1,1,39675.749091555,1.060806285,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999899984,0,none,0,7,3.321033426,46.456594091,2.705318347,0,7,411.486804582,4631.884720519,15714.865647764,12547.165187456,-2.693344995,.069506219,.433954495,0,7,15714.865647764,4631.884720519,12547.165187456,-177.902421946,-369.939757321,28.577868439
67.799549663,3.321033426,2.705318347,38.244557941,12580.093094944,-2.646231823,12580.093094944,2,1,true,1,1,39213.959399292,1.036974857,16598.680768208,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,38.244557941,12580.093094944,-2.646231823,12580.093094944,2,true,1,1,39213.959399292,1.036974857,16600,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,1,0,0,0,39.999900001,0,none,0,8,3.321033426,67.799549663,2.705318347,0,8,414.807838008,4264.794724107,15528.651110445,12580.093094944,-2.646231823,.092329377,.439781596,0,8,15528.651110445,4264.794724107,12580.093094944,-196.338700488,-363.392365016,38.244557941
