command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
-13.800816667,2.566434924,.954842,-13.800816667,8409.782622509,-.911339255,8409.782622509,2,1,true,1,1,12753.76645826,-2.81325741,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-13.800816667,8409.782622509,-.911339255,8409.782622509,2,true,1,1,12753.76645826,-2.81325741,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.011808841,1,none,0,0,2.566434924,-13.800816667,.954842,0,0,483.1867596,10642.862236944,-19421.349627919,8409.782622509,-.911339255,-.02856596,0,0,0,-19421.349627919,10642.862236944,8409.782622509,-381.718775626,295.921878958,-13.800816667
-13.800816667,2.566434924,.954842,-13.800812811,8395.981809331,-.904157754,8395.981809331,2,1,true,1,1,12957.940344338,-2.845597847,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-13.800812811,8395.981809331,-.904157754,8395.981809331,2,true,1,1,12957.940344338,-2.845597847,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999901975,1,none,0,1,2.566434924,-13.800816667,.954842,0,1,485.753194524,10940.310713745,-19803.344155885,8395.981809331,-.904157754,-.028414986,.189468252,0,1,-19803.344155885,10940.310713745,8395.981809331,-381.601579375,300.243131769,-13.800812811
-13.800816667,2.566434924,.954842,-13.800812851,8382.180996502,-.889720111,8382.180996502,2,1,true,1,1,13173.994040191,-2.884051159,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-13.800812851,8382.180996502,-.889720111,8382.180996502,2,true,1,1,13173.994040191,-2.884051159,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,2,2.566434924,-13.800816667,.954842,0,2,488.319629448,11243.64946001,-20183.962862046,8382.180996502,-.889720111,-.028265607,.233608942,0,2,-20183.962862046,11243.64946001,8382.180996502,-379.22180871,307.33762846,-13.800812851
-13.800816667,2.566434924,.954842,-13.800812891,8368.380183633,-.873614575,8368.380183633,2,1,true,1,1,13401.639211516,-2.922884629,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-13.800812891,8368.380183633,-.873614575,8368.380183633,2,true,1,1,13401.639211516,-2.922884629,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,3,2.566434924,-13.800816667,.954842,0,3,490.886064372,11554.439105664,-20561.851115963,8368.380183633,-.873614575,-.028117791,.24434687,0,3,-20561.851115963,11554.439105664,8368.380183633,-376.191355298,315.053535066,-13.800812891
0,2.566434924,.954842,-13.80081293,8354.579370724,-.857139435,8354.579370724,2,1,true,1,1,13640.059727032,-2.960779531,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-13.80081293,8354.579370724,-.857139435,8354.579370724,2,true,1,1,13640.059727032,-2.960779531,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,4,2.566434924,0,.954842,0,4,493.452499296,11873.015707169,-20936.574184368,8354.579370724,-.857139435,-.027971512,.247684719,0,4,-20936.574184368,11873.015707169,8354.579370724,-372.890904506,322.888959181,-13.80081293
0,2.566434924,.954842,-4.135598681,8345.127924208,-.838199856,8345.127924208,2,1,true,1,1,13888.426612491,-2.999795193,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-4.135598681,8345.127924208,-.838199856,8345.127924208,2,true,1,1,13888.426612491,-2.999795193,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,5,2.566434924,0,.954842,0,5,496.01893422,12200.028871975,-21307.511431854,8345.127924208,-.838199856,-.008337679,.201826736,0,5,-21307.511431854,12200.028871975,8345.127924208,-368.747690069,331.727027836,-4.135598681
0,2.566434924,3.182855452,0,8344.026644612,-.822882928,8344.026644612,2,1,true,1,1,14145.639513723,-3.03389754,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.822882928,8344.026644612,2,true,1,1,14145.639513723,-3.03389754,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,6,2.566434924,0,3.182855452,0,6,498.585369144,12535.197126817,-21674.71156841,8344.026644612,-.822882928,0,.228752981,0,6,-21674.71156841,12535.197126817,8344.026644612,-365.517712126,339.093161899,0
0,2.566434924,5.109073779,0,8344.026644612,-.791374633,8344.026644612,2,1,true,1,1,14411.026579899,-3.082862064,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.791374633,8344.026644612,2,true,1,1,14411.026579899,-3.082862064,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,7,2.566434924,0,5.109073779,0,7,501.151804068,12879.169040325,-22037.209325646,8344.026644612,-.791374633,0,.639273199,0,7,-22037.209325646,12879.169040325,8344.026644612,-356.479366517,352.243654263,0
0,2.566434924,7.476851412,0,8344.026644612,-.7278248,8344.026644612,2,1,true,1,1,14684.07156702,3.121554994,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.7278248,8344.026644612,2,true,1,1,14684.07156702,3.121554994,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,8,2.566434924,0,7.476851412,0,8,503.718238992,13241.645516818,-22384.825353781,8344.026644612,-.7278248,0,.818271123,0,8,-22384.825353781,13241.645516818,8344.026644612,-335.097125522,376.087730138,0
0,2.566434924,7.476851412,0,8344.026644612,-.659603785,8344.026644612,2,1,true,1,1,14961.907995185,3.040947336,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.659603785,8344.026644612,2,true,1,1,14961.907995185,3.040947336,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,9,2.566434924,0,7.476851412,0,9,506.284673916,13628.665141003,-22708.885256468,8344.026644612,-.659603785,0,.819981063,0,9,-22708.885256468,13628.665141003,8344.026644612,-310.253170564,400.083917694,0
0,2.566434924,7.476851412,0,8344.026644612,-.59149517,8344.026644612,2,1,true,1,1,15240.789303142,2.963174665,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.59149517,8344.026644612,2,true,1,1,15240.789303142,2.963174665,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,10,2.566434924,0,7.476851412,0,10,508.85110884,14038.93519635,-23007.339364211,8344.026644612,-.59149517,0,.821683776,0,10,-23007.339364211,14038.93519635,8344.026644612,-283.736802321,422.40132336,0
0,2.566434924,7.476851412,0,8344.026644612,-.523497958,8344.026644612,2,1,true,1,1,15517.262830889,2.888085525,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.523497958,8344.026644612,2,true,1,1,15517.262830889,2.888085525,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,11,2.566434924,0,7.476851412,0,11,511.417543764,14470.725132753,-23278.566865654,8344.026644612,-.523497958,0,.823379312,0,11,-23278.566865654,14470.725132753,8344.026644612,-255.664118425,442.926362525,0
0,2.566434924,7.476851412,0,8344.026644612,-.455611162,8344.026644612,2,1,true,1,1,15788.186721593,2.815525027,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.455611162,8344.026644612,2,true,1,1,15788.186721593,2.815525027,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,12,2.566434924,0,7.476851412,0,12,513.983978688,14922.194461248,-23521.066468504,8344.026644612,-.455611162,0,.82506772,0,12,-23521.066468504,14922.194461248,8344.026644612,-226.158714996,461.553643664,0
0,2.566434924,7.476851412,0,8344.026644612,-.387833811,8344.026644612,2,1,true,1,1,16050.715216315,2.74533973,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.387833811,8344.026644612,2,true,1,1,16050.715216315,2.74533973,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,13,2.566434924,0,7.476851412,0,13,516.550413612,15391.401165629,-23733.463636604,8344.026644612,-.387833811,0,.826749046,0,13,-23733.463636604,15391.401165629,8344.026644612,-195.351100115,478.186446364,0
0,2.566434924,7.476851412,0,8344.026644612,-.320164945,8344.026644612,2,1,true,1,1,16302.280647572,2.677381096,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8344.026644612,-.320164945,8344.026644612,2,true,1,1,16302.280647572,2.677381096,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999899983,1,none,0,14,2.566434924,0,7.476851412,0,14,519.116848536,15876.310573211,-23914.517227152,8344.026644612,-.320164945,0,.828423339,0,14,-23914.517227152,15876.310573211,8344.026644612,-163.378078237,492.737157099,0
