command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,16510.831504111,-.878086198,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,16510.831504111,-.878086198,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.001018237,1,none,0,0,0,0,0,0,0,292.6830858,13735.457787951,-2031.998610986,8145.669555842,-1.557008226,0,0,0,0,-2031.998610986,13735.457787951,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,16145.378241482,-.875486141,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,16145.378241482,-.875486141,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.018239395,1,none,0,1,0,0,0,0,1,292.6830858,13739.493204059,-2324.653875983,8145.669555842,-1.557008226,0,0,0,1,-2324.653875983,13739.493204059,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,15777.913389818,-.872856143,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,15777.913389818,-.872856143,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.024054352,1,none,0,2,0,0,0,0,2,292.6830858,13743.528620167,-2617.309140979,8145.669555842,-1.557008226,0,0,0,2,-2617.309140979,13743.528620167,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,15407.976581267,-.87021488,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,15407.976581267,-.87021488,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.047957736,1,none,0,3,0,0,0,0,3,292.6830858,13747.564036276,-2909.964405976,8145.669555842,-1.557008226,0,0,0,3,-2909.964405976,13747.564036276,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,15035.531058577,-.867564136,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,15035.531058577,-.867564136,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.089269189,1,none,0,4,0,0,0,0,4,292.6830858,13751.599452384,-3202.619670973,8145.669555842,-1.557008226,0,0,0,4,-3202.619670973,13751.599452384,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,14660.584659885,-.86490383,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,14660.584659885,-.86490383,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.090977696,1,none,0,5,0,0,0,0,5,292.6830858,13755.634868493,-3495.274935969,8145.669555842,-1.557008226,0,0,0,5,-3495.274935969,13755.634868493,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,14283.150094737,-.86223364,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,14283.150094737,-.86223364,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.094125676,1,none,0,6,0,0,0,0,6,292.6830858,13759.670284601,-3787.930200966,8145.669555842,-1.557008226,0,0,0,6,-3787.930200966,13759.670284601,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,13903.240837405,-.85955317,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,13903.240837405,-.85955317,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.096488373,1,none,0,7,0,0,0,0,7,292.6830858,13763.705700709,-4080.585465963,8145.669555842,-1.557008226,0,0,0,7,-4080.585465963,13763.705700709,8145.669555842,-292.655264997,4.035416108,0
0,0,0,0,8145.669555842,-1.557008226,8145.669555842,2,1,true,1,1,13520.870727185,-.856861963,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8145.669555842,-1.557008226,8145.669555842,2,true,1,1,13520.870727185,-.856861963,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.098647673,1,none,0,8,0,0,0,0,8,292.6830858,13767.741116818,-4373.240730959,8145.669555842,-1.557008226,0,0,0,8,-4373.240730959,13767.741116818,8145.669555842,-292.655264997,4.035416108,0
