command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
26.870833333,.56181461,.706218096,26.870833333,15437.994730486,0,15437.994730486,1,1,true,2,2,19108.44219446,1.635894696,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,26.870833333,15437.994730486,0,15437.994730486,1,true,2,2,19108.44219446,1.635894696,16550,0,0,0,3,25,0,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,100.000206495,1,none,0,0,.56181461,26.870833333,.706218096,0,0,521.8069992,0,-21279.357549159,15437.994730486,0,.051518519,0,0,0,-21279.357549159,0,15437.994730486,0,521.114673301,26.870833333
26.870833333,.56181461,1.980198101,26.870833022,15464.865563539,.005028161,15464.865563539,1,1,true,2,2,19049.531812549,1.65330639,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,26.870833022,15464.865563539,.005028161,15464.865563539,1,true,2,2,19049.531812549,1.65330639,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999916727,1,none,0,1,.56181461,26.870833333,1.980198101,0,1,522.36881381,521.366729608,-21278.582387193,15464.865563539,.005028161,.05146306,.146212164,0,1,-21278.582387193,521.366729608,15464.865563539,2.623065974,521.670638909,26.870833022
26.870833333,.56181461,1.980198101,26.870833023,15491.736396561,.025025203,15491.736396561,1,1,true,2,2,18994.115265941,1.655968867,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,26.870833023,15491.736396561,.025025203,15491.736396561,1,true,2,2,18994.115265941,1.655968867,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.99990385,1,none,0,2,.56181461,26.870833333,1.980198101,0,2,522.930628421,1043.249213975,-21272.148887136,15491.736396561,.025025203,.051407722,.438518911,0,2,-21272.148887136,1043.249213975,15491.736396561,13.067792933,522.076271498,26.870833023
19.155536781,.56181461,1.980198101,26.870833023,15518.607229584,.056599586,15518.607229584,1,1,true,2,2,18934.393934679,1.647306059,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,26.870833023,15518.607229584,.056599586,15518.607229584,1,true,2,2,18934.393934679,1.647306059,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999906815,1,none,0,3,.56181461,19.155536781,1.980198101,0,3,523.492443031,1565.326955255,-21251.865485814,15518.607229584,.056599586,.051352502,.499872433,0,3,-21251.865485814,1565.326955255,15518.607229584,29.574600316,521.965170543,26.870833023
7.424138072,.56181461,1.980198101,19.15553656,15541.229780554,.086905451,15541.229780554,1,1,true,2,2,18869.497347576,1.640167668,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,19.15553656,15541.229780554,.086905451,15541.229780554,1,true,2,2,18869.497347576,1.640167668,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999910475,1,none,0,4,.56181461,7.424138072,1.980198101,0,4,524.054257642,2087.329306103,-21216.009487409,15541.229780554,.086905451,.036560727,.586255307,0,4,-21216.009487409,2087.329306103,15541.229780554,45.455468318,521.727640413,19.15553656
7.424138072,.56181461,4.17435227,9.494252786,15556.037725538,.117975684,15556.037725538,1,1,true,2,2,18798.658215434,1.632538558,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,9.494252786,15556.037725538,.117975684,15556.037725538,1,true,2,2,18798.658215434,1.632538558,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999910247,1,none,0,5,.56181461,7.424138072,4.17435227,0,5,524.616072252,2608.75496194,-21163.430968381,15556.037725538,.117975684,.018098514,.656940444,0,5,-21163.430968381,2608.75496194,15556.037725538,61.738355848,520.884111724,9.494252786
7.424138072,.56181461,4.17435227,7.424137987,15563.793060885,.177047619,15563.793060885,1,1,true,2,2,18717.17771464,1.597200578,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,7.424137987,15563.793060885,.177047619,15563.793060885,1,true,2,2,18717.17771464,1.597200578,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.99990988,1,none,0,6,.56181461,7.424138072,4.17435227,0,6,525.177886862,3128.236574392,-21089.384679964,15563.793060885,.177047619,.014136896,.832756149,0,6,-21089.384679964,3128.236574392,15563.793060885,92.487248629,516.916631446,7.424137987
7.424138072,.56181461,4.17435227,7.424137987,15571.217198872,.244433912,15571.217198872,1,1,true,2,2,18611.905891487,1.553869344,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,7.424137987,15571.217198872,.244433912,15571.217198872,1,true,2,2,18611.905891487,1.553869344,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999914274,1,none,0,7,.56181461,7.424138072,4.17435227,0,7,525.739701473,3642.261700746,-20981.231627696,15571.217198872,.244433912,.014121788,.833117601,0,7,-20981.231627696,3642.261700746,15571.217198872,127.220055706,510.060950579,7.424137987
7.424138072,.56181461,4.17435227,7.424137987,15578.641336859,.311797129,15578.641336859,1,1,true,2,2,18482.145644177,1.510871378,16537.969663819,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,7.424137987,15578.641336859,.311797129,15578.641336859,1,true,2,2,18482.145644177,1.510871378,16550,0,0,0,3,25,6,0,0,0,0,0,0,false,false,false,false,-9999,9999,6,0,2,0,0,0,99.999926013,1,none,0,8,.56181461,7.424138072,4.17435227,0,8,526.301516083,4148.379919377,-20838.564824923,15578.641336859,.311797129,.014106713,.833478726,0,8,-20838.564824923,4148.379919377,15578.641336859,161.437246305,500.875417157,7.424137987
