"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,-32.818166667,-846.1671558420003,6.009642987427611,30480.839016889,77.94089352743052,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900034,true,false,false,0.0,-32.818166667,-0.833454,634.0845186,9421.167155842,false,-9.867533333,860.2774441580004,147.61708600575102,30480.839016889,116.33345053261026,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900033,true,false,false,0.0,-9.867533333,0.433642,196.3063302,8564.722555842,false,846.1671558420003
false,-32.818166066,-838.3489897149993,5.714329596323298,30445.455493366,79.731103481472,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-32.818166667,-0.833454,633.228245338,9388.348989715,false,-9.867517681,845.1449635820009,147.9212580119174,30445.455493366,117.52417503208524,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,0.695773398,193.864741842,8554.855036418,false,838.3489897149993
false,-32.818166064,-805.5308236500005,5.059733222203905,30433.750610287,81.88031675782874,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-32.818166667,-0.833454,632.371972076,9355.53082365,false,-9.867517279,805.0124810840007,148.53801144040088,30433.750610287,118.4020385631349,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,0.695773398,191.423153484,8544.987518916,false,805.5308236500005
false,-32.818166063,-797.7126575870006,4.284086507721176,30447.578480174,84.14889519108179,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-32.818166667,7.458882881,631.515698815,9322.712657587,false,-9.867516861,789.8799981760003,149.23326535802897,30447.578480174,119.19971636427711,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,0.695773398,188.981565126,8535.120001824,false,797.7126575870006
false,-32.818166061,-764.8944915249995,4.185824188560461,30485.530602527,85.7352960359861,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-13.749147384,7.458882881,630.659425553,9289.894491525,false,-9.867516427,774.7475148430003,149.92982258275367,30485.530602527,119.99129760800021,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,0.695773398,186.539976768,8525.252485157,false,764.8944915249995
false,-23.159144594,-736.4228946099993,6.277975681367654,30532.158782691,85.12266417940188,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,629.803152291,9261.42289461,false,-9.867515975,734.6150310690009,150.62637711457674,30532.158782691,120.77426276969594,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,0.695773398,184.09838841,8515.384968931,false,736.4228946099993
false,-13.500238526,-742.610267303,9.661213195580352,30564.480881008,83.20712199950673,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,628.946879029,9242.610267303,false,-9.867515505,744.4825468340005,151.32290758217238,30564.480881008,121.5454276364178,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,2.679987932,181.656800052,8505.517453166,false,742.610267303
false,-3.841448788,-733.4564938000003,13.044293948540298,30575.717044304,81.28006560246484,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,628.090605767,9233.4564938,false,-9.867515016,729.3500621210005,153.4183324974547,30575.717044304,120.90602707705354,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-9.867533333,2.679987932,179.215211694,8495.649937879,false,733.4564938000003
false,0.0,-757.4994245340004,16.364613534875193,30562.817759718,79.40793763791812,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,627.234332506,9232.499424534,false,-9.867514506,739.2175769090009,156.09496167482166,30562.817759718,119.67758952147479,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,176.773623336,8485.782423091,false,757.4994245340004
false,0.0,-757.4994245340004,20.021421665895236,30522.919712715,77.1908771631805,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,626.378059244,9232.499424534,false,-16.616931682,753.1672033710001,160.1139724671892,30522.919712715,117.09832638538965,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,174.332034978,8471.832796629,false,757.4994245340004
false,0.0,-782.4994245340004,23.679698860702,30448.834188611,74.96825189315345,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,625.521785982,9232.499424534,false,-16.616734612,769.7839581429998,165.3870120896466,30448.834188611,113.26093863041622,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,171.89044662,8455.216041857,false,782.4994245340004
false,0.0,-782.4994245340004,27.33944872892959,30339.938799522,72.73965250678813,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,624.66551272,9232.499424534,false,-16.616733631,786.4006923180004,170.69519923508847,30339.938799522,109.38390202413238,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,169.448858262,8438.599307682,false,782.4994245340004
false,0.0,-807.4994245340004,31.000674937507885,30196.475480239,70.50338791915223,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,623.809239458,9232.499424534,false,-16.616732607,803.0174254920003,176.00317438614616,30196.475480239,105.50088849401709,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,167.007269904,8421.982574508,false,807.4994245340004
false,0.0,-832.4994245340004,34.66338126795835,30018.781953801,68.25771324457642,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,622.952966197,9232.499424534,false,-16.616731537,819.6341576220002,-178.68914346312306,30018.781953801,101.6102379521547,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,164.565681546,8405.365842378,false,832.4994245340004
false,0.0,-832.4994245340004,38.32757132991509,29807.270358697,66.00083690133113,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,622.096692935,9232.499424534,false,-16.616730418,836.2508886600008,-173.38176613622883,29807.270358697,97.7101743439719,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,162.124093188,8388.74911134,false,832.4994245340004
false,0.0,-857.4994245340004,41.99324884760375,29562.426513917,63.730906746047815,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,7.458882881,621.240419673,9232.499424534,false,-16.616729247,852.8676185549994,-168.07470594147418,29562.426513917,93.79886151162262,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.616768248,5.317856621,159.68250483,8372.132381445,false,857.4994245340004
false,0.0,-882.4994245340004,45.660417545250034,29284.809251689,61.44599586436567,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899987,true,false,false,0.0,0.0,7.458882881,620.384146411,9232.499424534,false,-16.61672802,869.4843472550001,-162.76797571311374,29284.809251689,89.8743891565221,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.99989999,true,false,false,0.0,-12.415688489,5.317856621,157.240916472,8355.515652745,false,882.4994245340004
false,0.0,-882.4994245340004,49.32908120437536,28978.50592909,59.144729615942616,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900005,true,false,false,0.0,0.0,7.458882881,619.527873149,9232.499424534,false,-12.415657551,883.525664629,-160.6416671121667,28978.50592909,89.11547790898157,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900018,true,false,false,0.0,-12.415688489,5.317856621,154.799328114,8341.474335371,false,882.4994245340004
false,0.0,-907.4994245340004,52.999243491909645,28646.386858981,56.825431182495436,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900048,true,false,false,0.0,0.0,7.458882881,618.671599888,9232.499424534,false,-12.415656549,895.9413217330002,-155.6959842330557,28646.386858981,85.52065888395764,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900121,true,false,false,0.0,-12.415688489,5.317856621,152.357739756,8329.058678267,false,907.4994245340004
false,0.0,-907.4994245340004,56.670908246670095,28283.562587295,54.485658331422364,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900271,true,false,false,0.0,0.0,7.458882881,617.815326626,9232.499424534,false,-12.415655497,908.3569778130004,-150.3833900108452,28283.562587295,81.53995662273033,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900458,true,false,false,0.0,-12.415688489,5.317856621,149.916151398,8316.643022187,false,907.4994245340004
false,0.0,-932.4994245340004,60.34407925017817,27890.635890403,52.123014380266376,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900741,true,false,false,0.0,0.0,7.458882881,616.959053364,9232.499424534,false,-12.415654393,920.7726328179997,-145.07065719014412,27890.635890403,77.53775079708552,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999901443,true,false,false,0.0,-12.415688489,5.317856621,147.47456304,8304.227367182,false,932.4994245340004
