"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,0.0,-422.29501595500005,"-1.0454700154225847",8884.738741837,"28.082152604727696",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.022346982,true,false,false,0.0,0.0,0.34849,256.216479,2647.295015955,false,0.0,436.48898404500005,"-83.75852798717371",8884.738741837,"-69.20478938972853",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.021712104,true,false,false,0.0,0.0,0.678301489,133.17822192,2213.511015955,true
false,0.0,-422.29501595500005,"-0.8278989757083923",8611.590662775,"27.828199948234065",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.163168662,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-83.22241899860848",8611.590662775,"-69.7772799950732",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.158668663,true,false,false,0.0,0.0,0.678301489,135.867832488,2213.511015955,true
false,0.0,-422.29501595500005,"-0.7042170401920207",8338.500581834,"27.6385088629436",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.196112363,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-82.54713220177443",8338.500581834,"-70.51857594168133",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.188501215,true,false,false,0.0,0.0,0.678301489,138.557443056,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6973802785974016",8065.993573354,"27.53796514043423",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.205048278,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-81.8716448697121",8065.993573354,"-71.28777023465841",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.196098673,true,false,false,0.0,0.0,0.678301489,141.247053624,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6970021264526152",7794.246959116,"27.414554729616974",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.213416338,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-81.19615690739619",7794.246959116,"-72.08629051294258",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.20345488,true,false,false,0.0,0.0,0.678301489,143.936664192,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969812134930929",7523.358428823,"27.259091111683592",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.216738449,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-80.52066865860138",7523.358428823,"-72.91722152400702",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.206357196,true,false,false,0.0,0.0,0.85667588,146.62627476,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800675775026",7253.549870858,"27.067372099573042",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.219399965,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-79.7077076666403",7253.549870858,"-73.9219003248673",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.208642778,true,false,false,0.0,0.0,0.85667588,149.315885328,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",6985.238945137,"26.83458261327082",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.223064141,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-78.85470488891293",6985.238945137,"-75.00769247430532",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.211839659,true,false,false,0.0,0.0,0.85667588,152.005495896,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",6718.58976197,"26.555972947246854",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.228125341,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-78.00157479996348",6718.58976197,"-76.13943222927874",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.216221962,true,false,false,0.0,0.0,0.85667588,154.695106464,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",6453.757725629,"26.226168184425017",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.234709604,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-77.14844367968999",6453.757725629,"-77.32236811237405",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.221920711,true,false,false,0.0,0.0,0.85667588,157.384717032,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",6190.914118647,"25.83899619425305",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.242763656,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-76.29531187186716",6190.914118647,"-78.56267196766464",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.228820858,true,false,false,0.0,0.0,0.85667588,160.0743276,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",5930.249261406,"25.38734296085926",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.250056726,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-75.44217943379076",5930.249261406,"-79.86745758183906",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.235006836,true,false,false,0.0,0.0,0.85667588,162.763938168,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",5671.976309507,"24.862979263319527",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.261687319,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-74.58904636546077",5671.976309507,"-81.24495434770878",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.245292687,true,false,false,0.0,0.0,0.85667588,165.453548736,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",5416.335945049,"24.256351030400047",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.270386969,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-73.73591260958142",5416.335945049,"-82.70471633650759",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.252759212,true,false,false,0.0,0.0,0.85667588,168.143159304,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",5163.602196842,"23.556326895352797",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.278669482,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-72.88277822344851",5163.602196842,"-84.25787485768775",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.259640479,true,false,false,0.0,0.0,0.85667588,170.832769872,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",4914.089688397,"22.74989458557989",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.286220721,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-72.02964314976624",4914.089688397,"-85.91744229843871",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.265888245,true,false,false,0.0,0.0,0.85667588,173.52238044,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",4668.162691878,"21.821797151729477",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.292257744,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-71.17650733123885",4668.162691878,"-87.69867555081653",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.270569429,true,false,false,0.0,0.0,0.85667588,176.211991008,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",4426.246461488,"20.75410175965909",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.298400103,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-70.32337082516209",4426.246461488,"-89.61950739166788",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.275309887,true,false,false,0.0,0.0,0.85667588,178.901601576,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",4188.8414279,"19.525695888646414",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.301660032,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-69.47023363153598",4188.8414279,"-91.70105051360245",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.277527388,true,false,false,0.0,0.0,0.307992604,181.591212144,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",3956.111834164,"18.111319032715496",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.305794588,true,false,false,0.0,0.0,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-69.01195838112919",3956.111834164,"-93.57370261994016",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.280442078,true,false,false,0.0,0.0,0.307992604,184.280822712,2213.511015955,true
false,0.0,-422.29501595500005,"-0.6969800102817232",3727.577887585,"16.47911634273889",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.309925897,true,false,false,0.0,-15.630459383,0.0,256.216479,2647.295015955,false,0.0,436.48898404500005,"-68.7032948442152",3727.577887585,"-95.51456878953498",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.283269961,true,false,false,0.0,0.0,0.307992604,186.97043328,2213.511015955,true
true,-9.659667956,-417.9481086710002,"-0.6969800102817232",3503.453874622,"14.590352319427426",true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,0.0,false,true,false,false,false,true,1200.0,true,false,false,5.0,-15.630459383,0.0,256.216479,2642.948108671,false,0.0,436.48898404500005,"-68.39655472661948",3503.453874622,"-97.71007293044217",false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.285157911,true,false,false,0.0,0.0,0.307992604,189.660043848,2213.511015955,true
