"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-315.5325558420009,-16.6012079765991,23556.65404213,163.633950484506,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999953346,true,false,false,0.0,0.0,0.638508,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,23556.65404213,-110.68696555635776,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999952068,true,false,false,0.0,0.0,0.0,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-16.141234937653774,23924.845732912,162.09997510596884,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,23924.845732912,-111.76096783865383,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-14.304971151701706,24300.142087556,159.22967295852263,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,24300.142087556,-112.79500614285217,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-11.992775274970299,24680.531105338,155.93022765705882,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,24680.531105338,-113.78225562488034,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-9.675621651733403,25064.916026506,152.67137727481676,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,25064.916026506,-114.72395238388553,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-7.358420071929056,25452.385854482,149.45583087084333,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.71970798346575,25452.385854482,-115.62229720805462,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.887337579,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-5.041218033758473,25841.20971994,146.28046192904208,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,77.36316815048642,25841.20971994,-116.12392427870594,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.313071519,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-2.7240159955878895,26227.30448944,143.13938651663167,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,76.85235026384339,26227.30448944,-116.43697970900693,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-3.381100863,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,-0.4068140147130857,26608.571964054,140.02882907092538,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,75.5543247495106,26608.571964054,-115.93230960220987,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-5.426950278,534.8250006,8443.084555842,false,315.5325558420009
false,0.0,-315.5325558420009,1.9103880234574977,26970.585062992,136.93242064608248,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,2.317202034,182.6317746,8765.532555842,false,0.0,331.91544415799945,72.0899600211415,26970.585062992,-113.24715126051309,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-7.785200981,534.8250006,8443.084555842,false,315.5325558420009
