"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,-15.720316667,-486.9936992879998,"3.973090001256983",17259.651854617,"81.28628878355666",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000998975,true,false,false,0.0,-15.720316667,0.0,330.3328404,2786.993699288,false,0.0,486.2159840449999,"-169.704990024978",17259.651854617,"74.96436878628852",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001000274,true,false,false,0.0,0.0,0.0,102.38161044,2288.784015955,false
false,-15.720316667,-471.2733826210001,"3.973090001256983",17187.943494026,"82.70381249558578",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000064279,true,false,false,0.0,-15.720316667,0.0,330.3328404,2771.273382621,false,0.0,486.2159840449999,"-169.704990024978",17187.943494026,"76.38189249831764",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000028102,true,false,false,0.0,0.0,0.0,102.38161044,2288.784015955,false
false,-15.720316667,-455.55306595499997,"3.973090001256983",17126.842369907,"84.1322659505148",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999957485,true,false,false,0.0,-15.720316667,0.844061528,330.3328404,2755.553065955,false,0.0,461.2159840449999,"-169.704990024978",17126.842369907,"77.81034595324667",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999968999,true,false,false,0.0,0.0,0.0,102.38161044,2288.784015955,false
false,-15.720316667,-439.83274928799983,"4.434398776710095",17075.637427834,"85.10845190399787",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999965899,true,false,false,0.0,-15.720316667,3.193542802,330.3328404,2739.832749288,false,0.0,461.2159840449999,"-169.704990024978",17075.637427834,"79.24784068218285",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999973345,true,false,false,0.0,0.0,0.0,102.38161044,2288.784015955,false
false,-15.720316667,-424.11243262100015,"6.417083245010775",17029.454387308,"84.56964067458347",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999958389,true,false,false,0.0,-15.720316667,3.816844901,330.3328404,2724.112432621,false,0.0,436.2159840449999,"-169.704990024978",17029.454387308,"80.69171392106912",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999970674,true,false,false,0.0,0.0,0.0,102.38161044,2288.784015955,false
false,-15.720316667,-408.392115955,"9.916219292276109",16978.088232564,"82.51724666588463",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999943187,true,false,false,0.0,-15.720316667,3.816844901,330.3328404,2708.392115955,false,0.0,411.2159840449999,"-169.704990024978",16978.088232564,"82.1384559596356",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999956381,true,false,false,0.0,0.0,0.978441933,102.38161044,2288.784015955,false
false,-15.720316667,-392.6717992879999,"13.712270548753603",16915.887453671,"80.16807719237985",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999942807,true,false,false,0.0,-15.720316667,3.816844901,330.3328404,2692.671799288,false,0.0,411.2159840449999,"-168.8819385586953",16915.887453671,"82.76228627632565",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999953622,true,false,false,0.0,0.0,2.219978254,102.38161044,2288.784015955,false
false,-15.720316667,-376.9514826210002,"17.519650727826882",16840.493071379,"77.80578561026788",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999956059,true,false,false,0.0,-15.720316667,5.772125059,330.3328404,2676.951482621,false,0.0,386.2159840449999,"-166.8577198068678",16840.493071379,"82.18315612145943",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999970346,true,false,false,0.0,0.0,2.219978254,102.38161044,2288.784015955,false
false,-15.720316667,-361.23116595500005,"21.959947417488493",16749.12839252,"74.80627930278006",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999980955,true,false,false,0.0,-15.720316667,5.772125059,330.3328404,2661.231165955,false,0.0,361.2159840449999,"-164.63774910760137",16749.12839252,"81.4039758043668",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999998458,true,false,false,0.0,0.0,5.48047667,102.38161044,2288.784015955,false
false,-15.720316667,-345.5108492879999,"26.503078801403305",16637.672305374,"71.69521060683314",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000010336,true,false,false,0.0,-15.720316667,5.772125059,330.3328404,2645.510849288,false,0.0,361.2159840449999,"-159.9072047758853",16637.672305374,"78.10549421791441",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.00003379,true,false,false,0.0,0.0,5.48047667,102.38161044,2288.784015955,false
false,-15.720316667,-329.7905326209998,"31.046210242613892",16502.333442526,"68.57059128714404",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000055632,true,false,false,0.0,-15.720316667,5.772125059,330.3328404,2629.790532621,false,0.0,336.2159840449999,"-154.4267470977308",16502.333442526,"74.04354860398561",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000085601,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-15.720316667,-314.0702159550001,"35.5893416265287",16342.969617009,"65.42877847805131",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000108474,true,false,false,0.0,-15.720316667,5.680760986,330.3328404,2614.070215955,false,0.0,336.2159840449999,"-148.5981124212789",16342.969617009,"69.61623250235581",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.00013606,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-15.720316667,-298.34989928799996,"40.13247306773929",16159.558618162,"62.26562190247017",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000180371,true,false,false,0.0,-16.115522768,5.680760986,330.3328404,2598.349899288,false,0.0,311.2159840449999,"-142.71063033830893",16159.558618162,"65.10872528501527",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000214533,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-16.115522768,-282.24744929999997,"44.61120915210156",15952.847394532,"59.14189204246224",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000355792,true,false,false,0.0,-16.115522768,5.680760986,330.3328404,2582.2474493,false,0.0,286.2159840449999,"-136.82314779697273",15952.847394532,"60.576249025329176",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000408085,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-16.115522768,-266.13192653199985,"49.15441542160019",15723.279364067,"55.92419572895414",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000771428,true,false,false,0.0,-16.115522768,3.745979492,330.3328404,2566.131926532,false,0.0,286.2159840449999,"-130.9356653129323",15723.279364067,"56.01427649727928",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000844683,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-16.115522768,-250.0164037640002,"53.14890774563227",15472.316241217,"53.22315940895134",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.005213198,true,false,false,0.0,-16.115522768,3.745979492,330.3328404,2550.016403764,false,0.0,261.2159840449999,"-125.04818282889185",15472.316241217,"51.42025001726813",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.005359388,true,false,false,0.0,0.0,5.887482505,102.38161044,2288.784015955,false
false,-16.115522768,-233.90088099600007,"56.89423436095748",15203.142290858,"50.74159348375359",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.016978728,true,false,false,0.0,-16.115522768,3.745979492,330.3328404,2533.900880996,false,0.0,236.2159840449999,"-119.16070028755567",15203.142290858,"46.79652816605939",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.016172511,true,false,false,0.0,0.0,3.293461517,102.38161044,2288.784015955,false
false,-16.115522768,-217.78535822799995,"60.63140194268847",14917.717505679,"48.23927250620191",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.022438659,true,false,false,0.0,-10.808033185,3.745979492,330.3328404,2517.785358228,false,0.0,236.2159840449999,"-115.3647353758179",14917.717505679,"44.23540980120514",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.022770402,true,false,false,0.0,0.0,3.293461517,102.38161044,2288.784015955,false
false,-10.808033185,-204.97663661900015,"63.9288203486562",14619.226944199,"46.155413488859416",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025727051,true,false,false,0.0,-10.808033185,3.745979492,330.3328404,2504.976636619,false,0.0,211.2159840449999,"-112.07125473688876",14619.226944199,"42.155488550901254",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025905355,true,false,false,0.0,0.0,3.293461517,102.38161044,2288.784015955,false
