"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,24.607666667,569.7041108249996,10.074611985049756,24467.72138008,112.58773132660383,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999919154,true,false,false,0.0,24.607666667,0.0,238.300482,7730.295889175,false,0.0,-580.4205558419999,-160.88812599636205,24467.72138008,103.55046934180828,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999918783,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,569.7041108249996
false,24.607666667,545.0964441579999,10.074611985049756,24625.558579141,113.70292979003183,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7754.903555842,false,0.0,-555.4205558419999,-160.88812599636205,24625.558579141,104.66566780523628,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,545.0964441579999
false,24.607666667,520.4887774910003,10.074611985049756,24792.631473154,114.80345520539697,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7779.511222509,false,0.0,-530.4205558419999,-160.88812599636205,24792.631473154,105.76619322060142,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,520.4887774910003
false,24.607666667,495.8811108250002,10.074611985049756,24968.754666983,115.88879953102233,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7804.118889175,false,0.0,-505.4205558419999,-160.88812599636205,24968.754666983,106.85153754622678,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,495.8811108250002
false,24.607666667,471.2734441579996,10.074611985049756,25153.738054289,116.95851230748936,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7828.726555842,false,0.0,-480.4205558419999,-160.88812599636205,25153.738054289,107.92125026539804,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,471.2734441579996
false,24.607666667,446.665777491,10.074611985049756,25347.387652676,118.01219928253926,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7853.334222509,false,0.0,-455.4205558419999,-160.88812599636205,25347.387652676,108.97493729774372,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,446.665777491
false,24.607666667,422.05811082499986,10.074611985049756,25549.506409199,119.04952155163618,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7877.941889175,false,0.0,-430.4205558419999,-160.88812599636205,25549.506409199,110.01225956684064,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,422.05811082499986
false,24.607666667,397.4504441580002,10.074611985049756,25759.894971055,120.07019326613616,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7902.549555842,false,0.0,-405.4205558419999,-160.88812599636205,25759.894971055,111.03293128134061,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,397.4504441580002
false,24.607666667,372.84277749099965,10.074611985049756,25978.352417221,121.07398008630095,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7927.157222509,false,0.0,-380.4205558419999,-160.88812599636205,25978.352417221,112.03671810150541,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,372.84277749099965
false,24.607666667,348.23511082500045,10.074611985049756,26204.676947718,122.06069671757965,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,24.607666667,0.0,238.300482,7951.764889175,false,0.0,-355.4205558419999,-160.88812599636205,26204.676947718,113.02343473278411,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.0,267.7677822,8305.420555842,false,348.23511082500045
