"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,-45.522833333,-1433.413015955,8.976038006639046,29266.988132435,121.6506381574643,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999900178,true,false,false,0.0,-45.522833333,4.134163593,903.3561306,3658.413015955,false,0.0,1435.131984045,40.051199978528246,29266.988132435,-89.42452383792802,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999900178,true,false,false,0.0,0.0,-0.759994,325.1023482,2214.868015955,false,1433.413015955
false,-45.522821457,-1387.8901932550002,9.476567977704264,29734.125527492,122.00327460087274,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,898.76733996,3612.890193255,false,0.0,1410.131984045,39.631836010862166,29734.125527492,-88.15199339849251,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,-0.900750102,325.1023482,2214.868015955,false,1387.8901932550002
false,-35.867429902,-1346.7123061450002,11.978308205234805,30184.586884428,120.3422902927902,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,894.17854932,3571.712306145,false,0.0,1360.131984045,38.82993631291077,30184.586884428,-86.50933783838887,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,-0.900750102,325.1023482,2214.868015955,false,1346.7123061450002
false,-26.212138473,-1315.1897657599998,15.212220026486015,30594.802149113,117.96347122741567,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,889.58975868,3540.18976576,false,0.0,1335.131984045,37.93947212214325,30594.802149113,-84.76378089174469,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,-0.288225859,325.1023482,2214.868015955,false,1315.1897657599998
false,-19.443694208,-1293.0347757099998,18.309596291636453,30961.972721712,115.7369130031955,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,885.00096804,3518.03477571,false,0.0,1310.131984045,37.37983106938264,30961.972721712,-83.33332174075802,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,0.0,325.1023482,2214.868015955,false,1293.0347757099998
false,-19.443694153,-1273.591081526,21.64679424058765,31288.623653816,113.28306098925245,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,880.4121774,3498.591081526,false,0.0,1285.131984045,37.22107472029642,31288.623653816,-82.29121945666365,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,0.0,325.1023482,2214.868015955,false,1273.591081526
false,-19.443694098,-1254.1473873979999,24.98916422225971,31573.576952815,110.8363926055532,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,875.82338676,3479.147387398,false,0.0,1260.131984045,37.20363462985777,31573.576952815,-81.37807782554799,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,0.0,325.1023482,2214.868015955,false,1254.1473873979999
false,-19.443694041,-1234.7036933250001,28.335788358264836,31816.988163874,108.3958373377533,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,871.23459612,3459.703693325,false,0.0,1235.131984045,37.20171688282169,31816.988163874,-80.47009121030666,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,-0.507050122,325.1023482,2214.868015955,false,1234.7036933250001
false,-19.443693984,-1215.2599993089998,31.686708990184094,32018.270421022,105.95972392526018,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,-19.443699434,4.134163593,866.64580548,3440.259999309,false,0.0,1235.131984045,36.922026904875004,32018.270421022,-79.27559395563809,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,0.0,325.1023482,2214.868015955,false,1215.2599993089998
false,-19.443693926,-1195.8163053510002,35.041968917964766,32176.073629124,103.52684577625303,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-19.443699434,4.134163593,862.05701484,3420.816305351,false,0.0,1210.131984045,36.71942117899495,32176.073629124,-78.15060650828028,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,39.999899983,true,false,false,0.0,0.0,0.0,325.1023482,2214.868015955,false,1195.8163053510002
