"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-222.29501595500005,27.43978601474537,11174.115600945,102.58933854194161,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.026271638,true,false,false,0.0,0.0,-2.75162,289.3007346,2647.295015955,false,0.0,236.55598404500006,64.6744040249242,11174.115600945,-114.64527943444456,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.024603489,true,false,false,0.0,0.0,-0.957436,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,26.055676284595812,11367.276003994,103.97464380582649,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999920966,true,false,false,0.0,0.0,-2.75162,289.3007346,2647.295015955,false,0.0,236.55598404500006,64.13084286079659,11367.276003994,-114.1005227938774,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999920597,true,false,false,0.0,0.0,-0.957436,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,23.397428166254485,11567.198325087,106.61228412196724,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900641,true,false,false,0.0,0.0,-0.787598115,289.3007346,2647.295015955,false,0.0,236.55598404500006,63.211881067102205,11567.198325087,-113.20216880238361,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900628,true,false,false,0.0,0.0,-2.700089412,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,21.811770734089368,11772.298291993,108.14902568344351,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900372,true,false,false,0.0,0.0,0.0,289.3007346,2647.295015955,false,0.0,236.55598404500006,61.251773255873516,11772.298291993,-111.29097680454798,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900364,true,false,false,0.0,0.0,-2.700089412,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,21.42949088675534,11969.938359286,108.4544115006989,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.99990034,true,false,false,0.0,0.0,0.962064879,289.3007346,2647.295015955,false,0.0,236.55598404500006,58.59978292527483,11969.938359286,-108.71588056132371,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900332,true,false,false,0.0,0.0,-2.700089412,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,21.96498279977522,12153.796383603,107.82255181076367,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900399,true,false,false,0.0,0.0,2.765611552,289.3007346,2647.295015955,false,0.0,236.55598404500006,55.902402534371205,12153.796383603,-106.11486789003965,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.99990039,true,false,false,0.0,0.0,-2.700089412,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,23.953704524363197,12318.334297765,105.72909300015533,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900806,true,false,false,0.0,0.0,4.827520134,289.3007346,2647.295015955,false,0.0,236.55598404500006,53.20246417339121,12318.334297765,-103.5196666723758,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999900788,true,false,false,0.0,0.0,-4.453613116,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,27.973200611983223,12452.900690141,101.60744277755116,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999902914,true,false,false,0.0,0.0,4.827520134,289.3007346,2647.295015955,false,0.0,236.55598404500006,49.37758672269133,12452.900690141,-99.79694341395586,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999902843,true,false,false,0.0,0.0,-4.453613116,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-222.29501595500005,32.75462628880853,12542.431738838,96.7289714001473,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999916705,true,false,false,0.0,0.0,4.827520134,289.3007346,2647.295015955,false,0.0,236.55598404500006,44.93992094063341,12542.431738838,-95.4563232178849,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999916274,true,false,false,0.0,-12.747543369,-4.453613116,309.4699446,2413.444015955,false,222.29501595500005
false,0.0,-247.29501595500005,37.5371120521464,12586.016922856,91.85361788717724,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999978765,true,false,false,0.0,0.0,4.827520134,289.3007346,2647.295015955,false,-9.659772443,240.90292049900017,40.97789567113287,12586.016922856,-91.58716575531237,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.99999654,true,false,false,0.0,-8.660987835,-4.453613116,309.4699446,2409.097079501,false,247.29501595500005
