"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,9.602444523,497.10085454,"9.392208880512856",17430.127475891,"-36.32285199343348",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2352.89914546,false,-15.775833333,-508.6580159549999,"-21.43238197449379",17430.127475891,"174.50173894237204",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2858.658015955,false
false,9.602444523,487.49841001699997,"8.573624651567243",17690.845851587,"-35.561331610685485",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2362.501589983,false,-15.775833333,-467.8821826220001,"-21.43238197449379",17690.845851587,"174.44467503887867",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2842.882182622,false
false,9.602444523,452.89596549299995,"7.755040422621631",17950.916455969,"-34.79503883327872",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2372.104034507,false,-16.152841073,-451.7670433530002,"-21.43238197449379",17950.916455969,"174.39238358733982",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2826.767043353,false
false,9.602444523,418.2935209699999,"6.936456136380239",18210.370687446,"-34.02414921548163",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2381.70647903,false,-16.152841073,-435.61420228,"-21.43238197449379",18210.370687446,"174.3446889761913",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2810.61420228,false
false,9.602444523,408.6910764459999,"6.117871907434628",18469.21996092,"-33.24883155066064",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2391.308923554,false,-16.152841073,-394.4613612060002,"-21.43238197449379",18469.21996092,"174.3014223547709",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2794.461361206,false
false,9.602444523,374.08863192299987,"5.299287621193235",18727.473448024,"-32.46924546485749",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2400.911368077,false,-16.152841073,-378.308520133,"-21.43238197449379",18727.473448024,"174.26242415433268",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2778.308520133,false
false,9.602444523,339.48618739899985,"4.480703392247624",18985.140879722,"-31.685541416789174",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2410.513812601,false,-16.152841073,-362.1556790589998,"-21.43238197449379",18985.140879722,"174.22754391615956",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2762.155679059,false
false,9.602444523,329.8837428759998,"3.662119106006232",19242.232518557,"-30.897861557284667",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2420.116257124,false,-16.152841073,-321.00283798600003,"-21.43238197449379",19242.232518557,"174.19663954671847",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2746.002837986,false
false,9.602444523,295.2812983519998,"2.8435348770606206",19498.759132949,"-30.106340187651146",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2429.718701648,false,-16.152841073,-304.8499969119998,"-21.43238197449379",19498.759132949,"174.1695766874064",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2729.849996912,false
false,9.602444523,285.6788538290002,"2.0249505908192287",19754.731973347,"-29.31110438992757",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2439.321146171,false,-16.152841073,-263.69715583900006,"-21.43238197449379",19754.731973347,"174.14622819888856",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-16.152841073,0.0,331.4400372,2713.697155839,false
