"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-515.5325558420009,15.179180014159343,13570.856017029,-135.640767854826,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.008327228,true,false,false,0.0,0.0,-0.52342,157.53739542,8765.532555842,false,0.0,517.7284441579995,58.12589600734521,13570.856017029,1.41251617549123,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.008298051,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,14.783055443846894,13351.227447171,-135.6799262542638,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.015751165,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,57.65064642389142,13351.227447171,1.4524827318990219,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.015700653,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,12.256003774392418,13130.301470515,-133.5948510194096,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.013981277,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,56.82316519171147,13130.301470515,1.8379875294787202,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.013926284,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,8.791177929589786,12903.959454368,-130.59242635139225,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.020516172,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,55.956052239659186,12903.959454368,2.242699304745691,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.020427694,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,5.322172414967453,12671.482361355,-127.60792351672772,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.023066679,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,55.08458079765935,12671.482361355,2.6296680667877284,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.022960511,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,1.8531552693018798,12432.655987421,-124.6454298244391,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.024721771,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,54.21263150885837,12432.655987421,2.9950939022117438,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.02460521,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,-1.6158619336594735,12187.28834494,-121.70492338753864,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025990901,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,53.3406299090107,12187.28834494,3.338584793294309,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025865664,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,-5.084879136620827,11935.208134096,-118.78639492411004,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.027178571,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,52.46862257958507,11935.208134096,3.6601033831871823,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.027043696,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,-8.553896339582181,11676.264759214,-115.889864258493,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.029675449,true,false,false,0.0,0.0,-3.469017192,157.53739542,8765.532555842,false,0.0,517.7284441579995,51.59661461990587,11676.264759214,3.959624805522054,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.029525642,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
false,0.0,-515.5325558420009,-12.022913485247754,11410.328269778,-113.01538983238267,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.036551012,true,false,false,0.0,0.0,-1.917565477,157.53739542,8765.532555842,false,0.0,517.7284441579995,50.72460654563511,11410.328269778,4.237090102941806,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.036373837,true,false,false,0.0,0.0,-0.872008053,332.6620044,8257.271555842,true,515.5325558420009
