"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,0.0,-197.29501595500005,1.979081535,13013.534155052,-0.177508935,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.004698421,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-2.690490554,13013.534155052,1.3504705,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.004580789,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979081535,12811.969603763,-0.156297751,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.013911253,true,false,false,0.0,-8.909128473,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-2.608683343,12811.969603763,1.289874474,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.013672163,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-6.754460319,-194.25474474500015,1.979081535,12592.258566155,-0.134916827,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.020660607,true,false,false,0.0,-8.909128473,0.0,129.05965236,2644.254744745,false,0.0,206.37398404499982,-2.526876132,12592.258566155,1.229448187,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.019469557,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-185.80272751700022,1.979081535,12354.975351777,-0.113409779,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.027895838,true,false,false,0.0,-8.909128473,0.0,129.05965236,2635.802727517,false,0.0,181.37398404499982,-2.445068921,12354.975351777,1.169148025,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.029540038,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-176.89359904399998,1.979081535,12100.48623382,-0.091825632,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.037928483,true,false,false,0.0,-8.909128473,0.0,129.05965236,2626.893599044,false,0.0,181.37398404499982,-2.363261711,12100.48623382,1.10892496,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.037809679,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-167.9844705700002,1.979081535,11829.301417129,-0.070213203,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.052570214,true,false,false,0.0,-8.909128473,0.0,129.05965236,2617.98447057,false,0.0,181.37398404499982,-2.2814545,11829.301417129,1.048730179,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.049173354,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-159.07534209699998,1.979081535,11541.998589281,-0.048623772,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.186575162,true,false,false,0.0,-8.909128473,0.0,129.05965236,2609.075342097,false,0.0,156.37398404499982,-2.199647289,11541.998589281,0.988512398,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.191031193,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-150.1662136240002,1.979081535,11239.200226652,-0.027112252,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.263315275,true,false,false,0.0,-8.909128473,0.0,129.05965236,2600.166213624,false,0.0,156.37398404499982,-2.117840078,11239.200226652,0.928216708,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.269732226,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-141.25708515099996,1.979081535,10921.572224482,-0.0057382,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.333367885,true,false,false,0.0,-8.909128473,0.0,129.05965236,2591.257085151,false,0.0,156.37398404499982,-2.036032867,10921.572224482,0.867783549,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.334904399,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,-8.909128473,-132.34795667800017,1.979081535,10589.822734852,0.01543296,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.425414933,true,false,false,0.0,-8.909128473,0.0,129.05965236,2582.347956678,false,0.0,131.37398404499982,-1.954225657,10589.822734852,0.807147499,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,true,true,false,false,400.431737957,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"false"
