"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,0.0,-465.5325558420009,0.085145573,15772.617960728,1.475484688,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001668849,true,false,false,0.0,0.0,0.0,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.742803036,15772.617960728,1.161840643,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001620887,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.085145573,15700.949441915,1.500329884,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000238997,true,false,false,0.0,0.0,0.936805465,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.699958614,15700.949441915,1.143841417,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000231567,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.094924658,15631.939387333,1.515435871,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000050973,true,false,false,0.0,0.0,0.936805465,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.640106384,15631.939387333,1.108874259,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000046526,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.110810576,15562.246265241,1.524436072,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000103322,true,false,false,0.0,0.0,3.075559402,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.580242953,15562.246265241,1.073896948,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000096989,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.148811186,15489.406643197,1.511307081,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000144489,true,false,false,0.0,0.0,5.681181011,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.520379519,15489.406643197,1.038905132,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000136831,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.224627606,15404.406618392,1.460312376,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000160695,true,false,false,0.0,0.0,5.681181011,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.460516085,15404.406618392,1.003863413,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000152522,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.309139997,15299.671673782,1.400512547,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000228663,true,false,false,0.0,0.0,5.681181011,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.400652651,15299.671673782,0.968712541,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000218288,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.393652388,15174.863298901,1.340558406,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000355429,true,false,false,0.0,0.0,5.681181011,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.340789217,15174.863298901,0.933407358,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000340846,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.478164779,15030.199797636,1.280404779,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000499726,true,false,false,0.0,0.0,4.734472225,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.280925783,15030.199797636,0.897902688,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000480172,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
false,0.0,-465.5325558420009,0.561324819,14866.072252927,1.221359115,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000594212,true,false,false,0.0,0.0,4.734472225,280.352019,8765.532555842,false,0.0,484.1944441579999,-2.221062349,14866.072252927,0.86215363,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000571144,true,false,false,0.0,0.0,3.429922114,121.5089415,8290.805555842,"false"
